 e,E ->m,M
x-axis: "Sqrt(S)"  from 2.000000 to 1400.000000 N_points= 200
Asymmetry
2.000000E+00 -2.529827E-04
9.025126E+00 -5.255045E-03
1.605025E+01 -1.698434E-02
2.307538E+01 -3.632051E-02
3.010050E+01 -6.480641E-02
3.712563E+01 -1.049124E-01
4.415075E+01 -1.604631E-01
5.117588E+01 -2.372177E-01
5.820101E+01 -3.431816E-01
6.522613E+01 -4.859465E-01
7.225126E+01 -6.535468E-01
7.927638E+01 -7.335043E-01
8.630151E+01 -4.261628E-01
9.332663E+01 2.033403E-01
1.003518E+02 6.010060E-01
1.073769E+02 7.306922E-01
1.144020E+02 7.483511E-01
1.214271E+02 7.307820E-01
1.284523E+02 7.046184E-01
1.354774E+02 6.783929E-01
1.425025E+02 6.545913E-01
1.495276E+02 6.336854E-01
1.565528E+02 6.154981E-01
1.635779E+02 5.996758E-01
1.706030E+02 5.858516E-01
1.776281E+02 5.736974E-01
1.846533E+02 5.629348E-01
1.916784E+02 5.533331E-01
1.987035E+02 5.447024E-01
2.057286E+02 5.368867E-01
2.127538E+02 5.297576E-01
2.197789E+02 5.232087E-01
2.268040E+02 5.171515E-01
2.338291E+02 5.115119E-01
2.408543E+02 5.062277E-01
2.478794E+02 5.012459E-01
2.549045E+02 4.965215E-01
2.619296E+02 4.920158E-01
2.689548E+02 4.876952E-01
2.759799E+02 4.835309E-01
2.830050E+02 4.794972E-01
2.900302E+02 4.755719E-01
2.970553E+02 4.717351E-01
3.040804E+02 4.679691E-01
3.111055E+02 4.642579E-01
3.181307E+02 4.605872E-01
3.251558E+02 4.569439E-01
3.321809E+02 4.533160E-01
3.392060E+02 4.496924E-01
3.462312E+02 4.460627E-01
3.532563E+02 4.424174E-01
3.602814E+02 4.387472E-01
3.673065E+02 4.350434E-01
3.743317E+02 4.312978E-01
3.813568E+02 4.275023E-01
3.883819E+02 4.236490E-01
3.954070E+02 4.197303E-01
4.024322E+02 4.157385E-01
4.094573E+02 4.116663E-01
4.164824E+02 4.075060E-01
4.235075E+02 4.032502E-01
4.305327E+02 3.988912E-01
4.375578E+02 3.944213E-01
4.445829E+02 3.898326E-01
4.516080E+02 3.851171E-01
4.586332E+02 3.802664E-01
4.656583E+02 3.752719E-01
4.726834E+02 3.701247E-01
4.797085E+02 3.648157E-01
4.867337E+02 3.593351E-01
4.937588E+02 3.536731E-01
5.007839E+02 3.478189E-01
5.078090E+02 3.417616E-01
5.148342E+02 3.354896E-01
5.218593E+02 3.289907E-01
5.288844E+02 3.222520E-01
5.359095E+02 3.152599E-01
5.429347E+02 3.080001E-01
5.499598E+02 3.004573E-01
5.569849E+02 2.926154E-01
5.640101E+02 2.844574E-01
5.710352E+02 2.759651E-01
5.780603E+02 2.671194E-01
5.850854E+02 2.578998E-01
5.921106E+02 2.482845E-01
5.991357E+02 2.382506E-01
6.061608E+02 2.277734E-01
6.131859E+02 2.168270E-01
6.202111E+02 2.053836E-01
6.272362E+02 1.934139E-01
6.342613E+02 1.808865E-01
6.412864E+02 1.677685E-01
6.483116E+02 1.540246E-01
6.553367E+02 1.396179E-01
6.623618E+02 1.245092E-01
6.693869E+02 1.086572E-01
6.764121E+02 9.201870E-02
6.834372E+02 7.454851E-02
6.904623E+02 5.619961E-02
6.974874E+02 3.692339E-02
7.045126E+02 1.667003E-02
7.115377E+02 -4.611052E-03
7.185628E+02 -2.697052E-02
7.255879E+02 -5.045820E-02
7.326131E+02 -7.512197E-02
7.396382E+02 -1.010061E-01
7.466633E+02 -1.281496E-01
7.536884E+02 -1.565833E-01
7.607136E+02 -1.863270E-01
7.677387E+02 -2.173858E-01
7.747638E+02 -2.497451E-01
7.817889E+02 -2.833650E-01
7.888141E+02 -3.181737E-01
7.958392E+02 -3.540595E-01
8.028643E+02 -3.908620E-01
8.098894E+02 -4.283619E-01
8.169146E+02 -4.662707E-01
8.239397E+02 -5.042198E-01
8.309648E+02 -5.417503E-01
8.379899E+02 -5.783056E-01
8.450151E+02 -6.132264E-01
8.520402E+02 -6.457525E-01
8.590653E+02 -6.750315E-01
8.660905E+02 -7.001389E-01
8.731156E+02 -7.201092E-01
8.801407E+02 -7.339802E-01
8.871658E+02 -7.408484E-01
8.941910E+02 -7.399331E-01
9.012161E+02 -7.306428E-01
9.082412E+02 -7.126357E-01
9.152663E+02 -6.858660E-01
9.222915E+02 -6.506080E-01
9.293166E+02 -6.074525E-01
9.363417E+02 -5.572739E-01
9.433668E+02 -5.011728E-01
9.503920E+02 -4.404013E-01
9.574171E+02 -3.762801E-01
9.644422E+02 -3.101196E-01
9.714673E+02 -2.431514E-01
9.784925E+02 -1.764773E-01
9.855176E+02 -1.110366E-01
9.925427E+02 -4.759145E-02
9.995678E+02 1.327303E-02
1.006593E+03 7.113726E-02
1.013618E+03 1.257287E-01
1.020643E+03 1.768995E-01
1.027668E+03 2.246037E-01
1.034693E+03 2.688749E-01
1.041719E+03 3.098063E-01
1.048744E+03 3.475341E-01
1.055769E+03 3.822225E-01
1.062794E+03 4.140533E-01
1.069819E+03 4.432163E-01
1.076844E+03 4.699031E-01
1.083869E+03 4.943021E-01
1.090894E+03 5.165952E-01
1.097920E+03 5.369553E-01
1.104945E+03 5.555454E-01
1.111970E+03 5.725175E-01
1.118995E+03 5.880126E-01
1.126020E+03 6.021606E-01
1.133045E+03 6.150808E-01
1.140070E+03 6.268826E-01
1.147095E+03 6.376656E-01
1.154121E+03 6.475207E-01
1.161146E+03 6.565305E-01
1.168171E+03 6.647702E-01
1.175196E+03 6.723079E-01
1.182221E+03 6.792055E-01
1.189246E+03 6.855192E-01
1.196271E+03 6.912999E-01
1.203296E+03 6.965938E-01
1.210322E+03 7.014429E-01
1.217347E+03 7.058852E-01
1.224372E+03 7.099553E-01
1.231397E+03 7.136846E-01
1.238422E+03 7.171016E-01
1.245447E+03 7.202324E-01
