 e,E ->m,M
x-axis: "Sqrt(S)"  from 1.000000 to 1100.000000 N_points= 200
Cross Section [pb]
1.000000E+00 9.962886E+04
6.522613E+00 2.343496E+03
1.204523E+01 6.871817E+02
1.756784E+01 3.230672E+02
2.309045E+01 1.870635E+02
2.861307E+01 1.219136E+02
3.413568E+01 8.579728E+01
3.965829E+01 6.377118E+01
4.518090E+01 4.943355E+01
5.070352E+01 3.969450E+01
5.622613E+01 3.295774E+01
6.174874E+01 2.842207E+01
6.727136E+01 2.587329E+01
7.279397E+01 2.595367E+01
7.831658E+01 3.205245E+01
8.383920E+01 6.548175E+01
8.936181E+01 6.424097E+02
9.488442E+01 2.262175E+02
1.004070E+02 4.964631E+01
1.059296E+02 2.540391E+01
1.114523E+02 1.720883E+01
1.169749E+02 1.320949E+01
1.224975E+02 1.082407E+01
1.280201E+02 9.214979E+00
1.335427E+02 8.038932E+00
1.390653E+02 7.131188E+00
1.445879E+02 6.403051E+00
1.501106E+02 5.802378E+00
1.556332E+02 5.296313E+00
1.611558E+02 4.862966E+00
1.666784E+02 4.487080E+00
1.722010E+02 4.157618E+00
1.777236E+02 3.866346E+00
1.832462E+02 3.606959E+00
1.887688E+02 3.374529E+00
1.942915E+02 3.165127E+00
1.998141E+02 2.975579E+00
2.053367E+02 2.803279E+00
2.108593E+02 2.646067E+00
2.163819E+02 2.502134E+00
2.219045E+02 2.369948E+00
2.274271E+02 2.248209E+00
2.329497E+02 2.135796E+00
2.384724E+02 2.031744E+00
2.439950E+02 1.935216E+00
2.495176E+02 1.845480E+00
2.550402E+02 1.761893E+00
2.605628E+02 1.683892E+00
2.660854E+02 1.610977E+00
2.716080E+02 1.542704E+00
2.771307E+02 1.478679E+00
2.826533E+02 1.418550E+00
2.881759E+02 1.362000E+00
2.936985E+02 1.308745E+00
2.992211E+02 1.258530E+00
3.047437E+02 1.211125E+00
3.102663E+02 1.166319E+00
3.157889E+02 1.123924E+00
3.213116E+02 1.083767E+00
3.268342E+02 1.045691E+00
3.323568E+02 1.009554E+00
3.378794E+02 9.752232E-01
3.434020E+02 9.425797E-01
3.489246E+02 9.115131E-01
3.544472E+02 8.819224E-01
3.599698E+02 8.537146E-01
3.654925E+02 8.268039E-01
3.710151E+02 8.011111E-01
3.765377E+02 7.765631E-01
3.820603E+02 7.530923E-01
3.875829E+02 7.306359E-01
3.931055E+02 7.091357E-01
3.986281E+02 6.885379E-01
4.041508E+02 6.687920E-01
4.096734E+02 6.498515E-01
4.151960E+02 6.316727E-01
4.207186E+02 6.142150E-01
4.262412E+02 5.974405E-01
4.317638E+02 5.813138E-01
4.372864E+02 5.658017E-01
4.428090E+02 5.508731E-01
4.483317E+02 5.364991E-01
4.538543E+02 5.226523E-01
4.593769E+02 5.093072E-01
4.648995E+02 4.964398E-01
4.704221E+02 4.840274E-01
4.759447E+02 4.720488E-01
4.814673E+02 4.604840E-01
4.869899E+02 4.493143E-01
4.925126E+02 4.385218E-01
4.980352E+02 4.280898E-01
5.035578E+02 4.180026E-01
5.090804E+02 4.082453E-01
5.146030E+02 3.988037E-01
5.201256E+02 3.896647E-01
5.256482E+02 3.808156E-01
5.311709E+02 3.722446E-01
5.366935E+02 3.639405E-01
5.422161E+02 3.558925E-01
5.477387E+02 3.480907E-01
5.532613E+02 3.405256E-01
5.587839E+02 3.331881E-01
5.643065E+02 3.260697E-01
5.698291E+02 3.191624E-01
5.753518E+02 3.124585E-01
5.808744E+02 3.059509E-01
5.863970E+02 2.996326E-01
5.919196E+02 2.934973E-01
5.974422E+02 2.875390E-01
6.029648E+02 2.817517E-01
6.084874E+02 2.761303E-01
6.140101E+02 2.706696E-01
6.195327E+02 2.653648E-01
6.250553E+02 2.602115E-01
6.305779E+02 2.552055E-01
6.361005E+02 2.503431E-01
