 e,E ->l,L
x-axis: "Sqrt(S)"  from 5.000000 to 200.000000 N_points= 200
Asymmetry
5.000000E+00 -8.927081E-04
5.979899E+00 -1.556265E-03
6.959799E+00 -2.349501E-03
7.939698E+00 -3.273162E-03
8.919598E+00 -4.327351E-03
9.899497E+00 -5.512608E-03
1.087940E+01 -6.829949E-03
1.185930E+01 -8.280800E-03
1.283920E+01 -9.866928E-03
1.381910E+01 -1.159041E-02
1.479899E+01 -1.345359E-02
1.577889E+01 -1.545910E-02
1.675879E+01 -1.760981E-02
1.773869E+01 -1.990888E-02
1.871859E+01 -2.235970E-02
1.969849E+01 -2.496597E-02
2.067839E+01 -2.773166E-02
2.165829E+01 -3.066104E-02
2.263819E+01 -3.375866E-02
2.361809E+01 -3.702942E-02
2.459799E+01 -4.047856E-02
2.557789E+01 -4.411165E-02
2.655779E+01 -4.793465E-02
2.753769E+01 -5.195390E-02
2.851759E+01 -5.617617E-02
2.949749E+01 -6.060865E-02
3.047739E+01 -6.525900E-02
3.145729E+01 -7.013536E-02
3.243719E+01 -7.524640E-02
3.341709E+01 -8.060130E-02
3.439698E+01 -8.620986E-02
3.537688E+01 -9.208244E-02
3.635678E+01 -9.823008E-02
3.733668E+01 -1.046645E-01
3.831658E+01 -1.113980E-01
3.929648E+01 -1.184439E-01
4.027638E+01 -1.258160E-01
4.125628E+01 -1.335292E-01
4.223618E+01 -1.415990E-01
4.321608E+01 -1.500420E-01
4.419598E+01 -1.588756E-01
4.517588E+01 -1.681183E-01
4.615578E+01 -1.777893E-01
4.713568E+01 -1.879091E-01
4.811558E+01 -1.984991E-01
4.909548E+01 -2.095815E-01
5.007538E+01 -2.211795E-01
5.105528E+01 -2.333173E-01
5.203518E+01 -2.460197E-01
5.301508E+01 -2.593120E-01
5.399497E+01 -2.732202E-01
5.497487E+01 -2.877700E-01
5.595477E+01 -3.029869E-01
5.693467E+01 -3.188956E-01
5.791457E+01 -3.355191E-01
5.889447E+01 -3.528781E-01
5.987437E+01 -3.709895E-01
6.085427E+01 -3.898652E-01
6.183417E+01 -4.095100E-01
6.281407E+01 -4.299195E-01
6.379397E+01 -4.510769E-01
6.477387E+01 -4.729494E-01
6.575377E+01 -4.954838E-01
6.673367E+01 -5.186004E-01
6.771357E+01 -5.421867E-01
6.869347E+01 -5.660893E-01
6.967337E+01 -5.901036E-01
7.065327E+01 -6.139636E-01
7.163317E+01 -6.373287E-01
7.261307E+01 -6.597708E-01
7.359296E+01 -6.807603E-01
7.457286E+01 -6.996537E-01
7.555276E+01 -7.156842E-01
7.653266E+01 -7.279584E-01
7.751256E+01 -7.354624E-01
7.849246E+01 -7.370838E-01
7.947236E+01 -7.316512E-01
8.045226E+01 -7.179987E-01
8.143216E+01 -6.950544E-01
8.241206E+01 -6.619507E-01
8.339196E+01 -6.181467E-01
8.437186E+01 -5.635459E-01
8.535176E+01 -4.985866E-01
8.633166E+01 -4.242817E-01
8.731156E+01 -3.421910E-01
8.829146E+01 -2.543203E-01
8.927136E+01 -1.629600E-01
9.025126E+01 -7.048927E-02
9.123116E+01 2.081973E-02
9.221106E+01 1.089664E-01
9.319095E+01 1.923331E-01
9.417085E+01 2.697371E-01
9.515075E+01 3.404282E-01
9.613065E+01 4.040453E-01
9.711055E+01 4.605502E-01
9.809045E+01 5.101512E-01
9.907035E+01 5.532304E-01
1.000503E+02 5.902790E-01
1.010302E+02 6.218451E-01
1.020101E+02 6.484949E-01
1.029899E+02 6.707845E-01
1.039698E+02 6.892412E-01
1.049497E+02 7.043534E-01
1.059296E+02 7.165646E-01
1.069095E+02 7.262721E-01
1.078894E+02 7.338279E-01
1.088693E+02 7.395411E-01
1.098492E+02 7.436817E-01
1.108291E+02 7.464842E-01
1.118090E+02 7.481513E-01
1.127889E+02 7.488578E-01
1.137688E+02 7.487542E-01
1.147487E+02 7.479698E-01
1.157286E+02 7.466152E-01
1.167085E+02 7.447854E-01
1.176884E+02 7.425616E-01
1.186683E+02 7.400132E-01
1.196482E+02 7.371996E-01
1.206281E+02 7.341714E-01
1.216080E+02 7.309719E-01
1.225879E+02 7.276380E-01
1.235678E+02 7.242011E-01
1.245477E+02 7.206880E-01
1.255276E+02 7.171215E-01
1.265075E+02 7.135207E-01
1.274874E+02 7.099022E-01
1.284673E+02 7.062797E-01
1.294472E+02 7.026649E-01
1.304271E+02 6.990677E-01
1.314070E+02 6.954962E-01
1.323869E+02 6.919573E-01
1.333668E+02 6.884566E-01
1.343467E+02 6.849989E-01
1.353266E+02 6.815878E-01
1.363065E+02 6.782265E-01
1.372864E+02 6.749173E-01
1.382663E+02 6.716620E-01
1.392462E+02 6.684621E-01
1.402261E+02 6.653186E-01
1.412060E+02 6.622320E-01
1.421859E+02 6.592028E-01
1.431658E+02 6.562311E-01
1.441457E+02 6.533166E-01
1.451256E+02 6.504592E-01
1.461055E+02 6.476585E-01
1.470854E+02 6.449138E-01
1.480653E+02 6.422244E-01
1.490452E+02 6.395898E-01
1.500251E+02 6.370089E-01
1.510050E+02 6.344810E-01
1.519849E+02 6.320052E-01
1.529648E+02 6.295804E-01
1.539447E+02 6.272057E-01
1.549246E+02 6.248802E-01
1.559045E+02 6.226027E-01
1.568844E+02 6.203723E-01
1.578643E+02 6.181879E-01
1.588442E+02 6.160486E-01
1.598241E+02 6.139533E-01
1.608040E+02 6.119010E-01
1.617839E+02 6.098907E-01
1.627638E+02 6.079215E-01
1.637437E+02 6.059923E-01
1.647236E+02 6.041023E-01
1.657035E+02 6.022505E-01
1.666834E+02 6.004359E-01
1.676633E+02 5.986577E-01
1.686432E+02 5.969150E-01
1.696231E+02 5.952070E-01
1.706030E+02 5.935327E-01
1.715829E+02 5.918914E-01
1.725628E+02 5.902823E-01
1.735427E+02 5.887045E-01
1.745226E+02 5.871573E-01
1.755025E+02 5.856401E-01
1.764824E+02 5.841519E-01
1.774623E+02 5.826922E-01
1.784422E+02 5.812603E-01
1.794221E+02 5.798554E-01
1.804020E+02 5.784769E-01
1.813819E+02 5.771242E-01
1.823618E+02 5.757967E-01
1.833417E+02 5.744937E-01
1.843216E+02 5.732147E-01
1.853015E+02 5.719592E-01
1.862814E+02 5.707264E-01
1.872613E+02 5.695160E-01
1.882412E+02 5.683274E-01
1.892211E+02 5.671600E-01
1.902010E+02 5.660134E-01
1.911809E+02 5.648871E-01
1.921608E+02 5.637806E-01
1.931407E+02 5.626935E-01
1.941206E+02 5.616253E-01
1.951005E+02 5.605756E-01
1.960804E+02 5.595439E-01
1.970603E+02 5.585299E-01
1.980402E+02 5.575332E-01
1.990201E+02 5.565533E-01
2.000000E+02 5.555900E-01
