 e,E ->l,L
x-axis: "Sqrt(S)"  from 5.000000 to 200.000000 N_points= 200
Cross Section [pb]
5.000000E+00 3.513899E+03
5.979899E+00 2.638346E+03
6.959799E+00 2.000462E+03
7.939698E+00 1.555990E+03
8.919598E+00 1.240641E+03
9.899497E+00 1.010728E+03
1.087940E+01 8.386118E+02
1.185930E+01 7.066826E+02
1.283920E+01 6.034501E+02
1.381910E+01 5.212102E+02
1.479899E+01 4.546606E+02
1.577889E+01 4.000642E+02
1.675879E+01 3.547287E+02
1.773869E+01 3.166770E+02
1.871859E+01 2.844314E+02
1.969849E+01 2.568701E+02
2.067839E+01 2.331291E+02
2.165829E+01 2.125348E+02
2.263819E+01 1.945555E+02
2.361809E+01 1.787672E+02
2.459799E+01 1.648284E+02
2.557789E+01 1.524617E+02
2.655779E+01 1.414398E+02
2.753769E+01 1.315750E+02
2.851759E+01 1.227114E+02
2.949749E+01 1.147183E+02
3.047739E+01 1.074859E+02
3.145729E+01 1.009212E+02
3.243719E+01 9.494487E+01
3.341709E+01 8.948921E+01
3.439698E+01 8.449596E+01
3.537688E+01 7.991488E+01
3.635678E+01 7.570237E+01
3.733668E+01 7.182054E+01
3.831658E+01 6.823628E+01
3.929648E+01 6.492061E+01
4.027638E+01 6.184803E+01
4.125628E+01 5.899608E+01
4.223618E+01 5.634490E+01
4.321608E+01 5.387692E+01
4.419598E+01 5.157652E+01
4.517588E+01 4.942980E+01
4.615578E+01 4.742438E+01
4.713568E+01 4.554923E+01
4.811558E+01 4.379447E+01
4.909548E+01 4.215130E+01
5.007538E+01 4.061183E+01
5.105528E+01 3.916905E+01
5.203518E+01 3.781669E+01
5.301508E+01 3.654919E+01
5.399497E+01 3.536162E+01
5.497487E+01 3.424966E+01
5.595477E+01 3.320957E+01
5.693467E+01 3.223812E+01
5.791457E+01 3.133262E+01
5.889447E+01 3.049089E+01
5.987437E+01 2.971130E+01
6.085427E+01 2.899274E+01
6.183417E+01 2.833468E+01
6.281407E+01 2.773723E+01
6.379397E+01 2.720118E+01
6.477387E+01 2.672813E+01
6.575377E+01 2.632058E+01
6.673367E+01 2.598214E+01
6.771357E+01 2.571774E+01
6.869347E+01 2.553396E+01
6.967337E+01 2.543939E+01
7.065327E+01 2.544525E+01
7.163317E+01 2.556612E+01
7.261307E+01 2.582098E+01
7.359296E+01 2.623473E+01
7.457286E+01 2.684026E+01
7.555276E+01 2.768149E+01
7.653266E+01 2.881792E+01
7.751256E+01 3.033146E+01
7.849246E+01 3.233697E+01
7.947236E+01 3.499922E+01
8.045226E+01 3.856084E+01
8.143216E+01 4.339017E+01
8.241206E+01 5.006708E+01
8.339196E+01 5.954489E+01
8.437186E+01 7.347530E+01
8.535176E+01 9.491067E+01
8.633166E+01 1.299645E+02
8.731156E+01 1.921913E+02
8.829146E+01 3.157015E+02
8.927136E+01 5.987316E+02
9.025126E+01 1.307315E+03
9.123116E+01 2.108093E+03
9.221106E+01 1.263707E+03
9.319095E+01 5.940618E+02
9.417085E+01 3.226855E+02
9.515075E+01 2.010042E+02
9.613065E+01 1.380703E+02
9.711055E+01 1.016966E+02
9.809045E+01 7.885540E+01
9.907035E+01 6.357805E+01
1.000503E+02 5.284384E+01
1.010302E+02 4.499847E+01
1.020101E+02 3.907656E+01
1.029899E+02 3.448483E+01
1.039698E+02 3.084264E+01
1.049497E+02 2.789676E+01
1.059296E+02 2.547346E+01
1.069095E+02 2.345034E+01
1.078894E+02 2.173910E+01
1.088693E+02 2.027476E+01
1.098492E+02 1.900865E+01
1.108291E+02 1.790365E+01
1.118090E+02 1.693112E+01
1.127889E+02 1.606862E+01
1.137688E+02 1.529836E+01
1.147487E+02 1.460612E+01
1.157286E+02 1.398037E+01
1.167085E+02 1.341171E+01
1.176884E+02 1.289241E+01
1.186683E+02 1.241604E+01
1.196482E+02 1.197725E+01
1.206281E+02 1.157150E+01
1.216080E+02 1.119499E+01
1.225879E+02 1.084445E+01
1.235678E+02 1.051710E+01
1.245477E+02 1.021053E+01
1.255276E+02 9.922666E+00
1.265075E+02 9.651703E+00
1.274874E+02 9.396062E+00
1.284673E+02 9.154360E+00
1.294472E+02 8.925380E+00
1.304271E+02 8.708044E+00
1.314070E+02 8.501399E+00
1.323869E+02 8.304595E+00
1.333668E+02 8.116873E+00
1.343467E+02 7.937555E+00
1.353266E+02 7.766030E+00
1.363065E+02 7.601747E+00
1.372864E+02 7.444211E+00
1.382663E+02 7.292971E+00
1.392462E+02 7.147618E+00
1.402261E+02 7.007781E+00
1.412060E+02 6.873119E+00
1.421859E+02 6.743323E+00
1.431658E+02 6.618108E+00
1.441457E+02 6.497213E+00
1.451256E+02 6.380396E+00
1.461055E+02 6.267437E+00
1.470854E+02 6.158130E+00
1.480653E+02 6.052287E+00
1.490452E+02 5.949730E+00
1.500251E+02 5.850298E+00
1.510050E+02 5.753839E+00
1.519849E+02 5.660210E+00
1.529648E+02 5.569281E+00
1.539447E+02 5.480929E+00
1.549246E+02 5.395037E+00
1.559045E+02 5.311499E+00
1.568844E+02 5.230212E+00
1.578643E+02 5.151083E+00
1.588442E+02 5.074021E+00
1.598241E+02 4.998943E+00
1.608040E+02 4.925769E+00
1.617839E+02 4.854424E+00
1.627638E+02 4.784839E+00
1.637437E+02 4.716945E+00
1.647236E+02 4.650681E+00
1.657035E+02 4.585985E+00
1.666834E+02 4.522802E+00
1.676633E+02 4.461077E+00
1.686432E+02 4.400759E+00
1.696231E+02 4.341800E+00
1.706030E+02 4.284154E+00
1.715829E+02 4.227775E+00
1.725628E+02 4.172623E+00
1.735427E+02 4.118658E+00
1.745226E+02 4.065840E+00
1.755025E+02 4.014134E+00
1.764824E+02 3.963505E+00
1.774623E+02 3.913919E+00
1.784422E+02 3.865344E+00
1.794221E+02 3.817751E+00
1.804020E+02 3.771109E+00
1.813819E+02 3.725391E+00
1.823618E+02 3.680570E+00
1.833417E+02 3.636620E+00
1.843216E+02 3.593515E+00
1.853015E+02 3.551233E+00
1.862814E+02 3.509751E+00
1.872613E+02 3.469045E+00
1.882412E+02 3.429096E+00
1.892211E+02 3.389883E+00
1.902010E+02 3.351386E+00
1.911809E+02 3.313586E+00
1.921608E+02 3.276466E+00
1.931407E+02 3.240006E+00
1.941206E+02 3.204191E+00
1.951005E+02 3.169005E+00
1.960804E+02 3.134430E+00
1.970603E+02 3.100453E+00
1.980402E+02 3.067057E+00
1.990201E+02 3.034230E+00
2.000000E+02 3.001957E+00
